Year,Tm,Player,Pos,College/Univ
1960,BUF,Charlie Bivins,HB,Morris Brown
1960,BUF,Mike Connelly,C,Utah St.
1960,BUF,Lou Cordileone,DT,Clemson
1960,BUF,Tom Day,DE,North Carolina A&T
1960,BUF,Ted Dean,FB,Wichita St.
1960,BUF,Ross Fichtner,DB,Purdue
1960,BUF,Jon Gilliam,C,East Texas A&M
1960,BUF,Alan Goldstein,E,North Carolina
1960,BUF,Pete Hall,E,Marquette
1960,BUF,Darrell Harper,HB,Michigan
1960,BUF,Jim Houston,LB,Ohio St.
1960,BUF,Bob Khayat,G,Mississippi
1960,BUF,Ken Kirk,LB,Mississippi
1960,BUF,Jim Leo,DE,Cincinnati
1960,BUF,Richie Lucas,QB,Penn St.
1960,BUF,Chuck McMurtry,DT,Whittier
1960,BUF,Harold Olson,T,Clemson
1960,BUF,Vince Promuto,G,Holy Cross
1960,BUF,Len Rohde,T,Utah St.
1960,BUF,Joe Schaffer,LB,Tennessee
1960,BUF,Jim Sorey,DT,Texas Southern
1960,BUF,Larry Wilson,DB,Utah
1960,BUF,Birtho Arnold,T,Ohio St.
1960,BUF,Gale Oliver,T,Texas A&M
1960,BUF,Ray Peterson,HB,West Virginia
1960,BUF,Rene Ramirez,HB,Texas
1960,BUF,Wayne Schneider,HB,Colorado St.
1960,BUF,Ivan Toncic,QB,Pittsburgh
1960,BUF,Dwight Bumgarner,E,Duke
1960,BUF,Babe Dreymala,T,Texas
1960,BUF,Joe Gomes,HB,South Carolina
1960,BUF,Mike Graney,E,Notre Dame
1960,BUF,Don Black,E,New Mexico
1960,BUF,Jim Hanna,E,USC
1960,BUF,Ernie Hanson,C,Northern Arizona
1960,BUF,John Littlejohn,HB,Kansas St.
1960,BUF,Marv Luster,E,UCLA
1960,BUF,Dwight Nichols,HB,Iowa St.
1960,BUF,Merlin Priddy,HB,TCU
1960,BUF,Harry Rakowski,HB,The Citadel
1960,BUF,Dale Rems,T,Purdue
1960,BUF,Carl Robison,T,South Carolina St.
1960,BUF,Bob Sliva,T,S.F. Austin
1960,BUF,Bill Burrell,G,Illinois
1960,BUF,Jerry Thompson,T,Oklahoma
1960,BUF,Royce Whittington,T,Southeastern Louisiana
1960,BUF,Paul Choquette,FB,Brown
1960,BUF,Jim Conroy,FB,USC
1960,BUF,Bob Coogan,T,Utah
1960,BUF,Willie Evans,HB,Buffalo
1960,BUF,Ray Jauch,HB,Iowa
1960,BUF,Bubba Meyer,E,TCU
1960,DEN,Mel Branch,DE,LSU
1960,DEN,Charley Britt,DB,Georgia
1960,DEN,Jim Colvin,DT,Houston
1960,DEN,Bernie Darre,G,Tulane
1960,DEN,Roger Davis,G,Syracuse
1960,DEN,Mike Dowdle,LB,Texas
1960,DEN,Bobby Joe Green,P,Florida
1960,DEN,Wayne Hawkins,G,Pacific
1960,DEN,Sam Horner,HB,VMI
1960,DEN,Claude King,HB,Houston
1960,DEN,Roger LeClerc,LB,Trinity (CT)
1960,DEN,Dean Look,QB,Michigan St.
1960,DEN,Bill Mathis,FB,Clemson
1960,DEN,Ray Norton,HB,San Jose St.
1960,DEN,Lebron Shields,DE,Tennessee
1960,DEN,Jack Spikes,FB,TCU
1960,DEN,Willie West,DB,Oregon
1960,DEN,Bob Yates,T,Syracuse
1960,DEN,Harry Ball,T,Boston Col.
1960,DEN,Dave Hudson,E,Florida
1960,DEN,Don Klochak,FB,North Carolina
1960,DEN,Ken McNeece,T,San Jose St.
1960,DEN,James Monroe,QB,Arkansas
1960,DEN,Bob Rosbaugh,HB,Miami (FL)
1960,DEN,Mel Semenko,E,Colorado
1960,DEN,Howard Turley,E,Louisville
1960,DEN,Jim Walden,QB,Wyoming
1960,DEN,John Willener,G,Oregon
1960,DEN,Ken Young,E,Valparaiso
1960,DEN,Dave Canary,E,Cincinnati
1960,DEN,Bob Zimpfer,T,Bowling Green
1960,DEN,Ronnie Cain,E,Kentucky
